genre_id,Genres
0,Art & Design
2,Pretend Play
6,Creativity
27,Action & Adventure
56,Auto & Vehicles
105,Beauty
146,Books & Reference
194,Business
268,Comics
307,Communication
414,Dating
580,Education
600,Music & Video
635,Brain Games
719,Entertainment
831,Events
875,Finance
990,Food & Drink
1065,Health & Fitness
1207,House & Home
1264,Libraries & Demo
1312,Lifestyle
1394,Adventure
1396,Arcade
1397,Casual
1398,Card
1402,Action
1403,Strategy
1407,Puzzle
1418,Sports
1419,Music
1421,Word
1425,Racing
1464,Simulation
1475,Board
1484,Trivia
1501,Role Playing
1626,Educational
1824,Music & Audio
1956,Video Players & Editors
1964,Medical
2221,Social
2300,Shopping
2403,Photography
2623,Travel & Local
2725,Tools
2842,Personalization
2935,Productivity
3037,Parenting
3102,Weather
3190,News & Magazines
3274,Maps & Navigation
3275,Casino
